1, 25.97
2, 24.23
3, 28.77
4, 34.72
5, 29.6
6, 27.68
7, 24.96
8, 26.46
9, 22.41
10, 24.36
11, 21.9
12, 27.29
13, 27.89
14, 24.38
15, 25.19
16, 20.4
17, 27.67
18, 25.57
19, 25.36
20, 24.64
21, 25.07
22, 17.26
23, 24.6
24, 24.68
25, 24.46
26, 25.35
27, 22.59
28, 20.89
29, 26.52
30, 17.78
31, 24.46
32, 23.16
33, 22.06
34, 21.7
35, 25.21
36, 26.82
37, 23.73
38, 25.06
39, 24.99
40, 24.42
41, 24.47
42, 25.55
43, 25.25
44, 24.98
45, 27.36
46, 28.2
47, 32.21
48, 31.98
49, 29.07
50, 28.12
51, 28.82
52, 29.74
53, 29.23
54, 27.94
55, 31.72
56, 28.78
57, 30.29
58, 28.13
59, 27.9
60, 28.73
61, 25.3
62, 25.19
63, 29.53
64, 31.84
65, 33.76
66, 33.06
67, 31.97
68, 30.76
69, 29.8
70, 29.21
71, 30
72, 29.36
73, 25.78
74, 32.1
75, 30.36
76, 30.69
77, 30.15
78, 29.5
79, 28.86
80, 32.79
81, 26.4
82, 28.18
83, 24.85
84, 25.12
85, 28.75
86, 27.88
87, 27.64
88, 28.45
89, 24.84
90, 27.59
91, 24.41
92, 27.57
93, 27.57
94, 24.7
95, 27.8
96, 27.74
97, 24.64
98, 24.65
99, 24.65
100, 27.87
101, 27.98
102, 26.35
103, 27.31
104, 29.18
105, 27.37
106, 29.31
107, 27.97
108, 28.81
109, 28.16
110, 28.02
111, 28.06
112, 24.75
113, 28.04
114, 24.79
115, 28.1
116, 28.15
117, 28.49
118, 28.62
119, 25.19
120, 27.92
121, 28.52
122, 28.75
123, 28.08
124, 28.15
125, 26.34
