1, 18.93
2, 26.73
3, 29.69
4, 30.6
5, 32.66
6, 37.77
7, 41.53
8, 46.74
9, 53.67
10, 58.64
11, 60.63
12, 63.88
13, 66.32
14, 67.04
15, 67.68
16, 68.6
17, 68.89
18, 69.38
19, 68.33
20, 69.76
21, 69.9
22, 70.5
23, 69.56
24, 69.7
25, 66.06
26, 69.48
27, 65.82
28, 70.87
29, 69.78
30, 71.28
31, 71.68
32, 71.17
33, 70.94
34, 71.23
35, 71.92
36, 71.81
37, 71.93
38, 71.94
39, 72.27
40, 72.04
41, 72.44
42, 72.35
43, 72.15
44, 72.83
45, 72.23
46, 72.18
47, 72.26
48, 72.9
49, 71.85
50, 72.22
51, 72.49
52, 72.9
53, 72.43
54, 73.17
55, 72.87
56, 73.18
57, 73.34
58, 73
59, 73.24
60, 72.96
61, 73.41
62, 73.16
63, 73.73
64, 68.52
65, 73.02
66, 74.3
67, 73.85
68, 73.86
69, 73.81
70, 74.45
71, 73.77
72, 73.54
73, 74
74, 74.34
75, 74.3
76, 74.33
77, 74.01
78, 73.43
79, 74.26
80, 74.05
81, 74.09
82, 73.9
83, 73.58
84, 73.86
85, 74.53
86, 74.23
87, 74.26
88, 74.6
89, 74.81
90, 74.08
91, 75.13
92, 74.49
93, 74.42
94, 74.55
95, 74.9
96, 75.01
97, 75.02
98, 74.02
99, 74.39
100, 74.23
101, 75.08
102, 74.62
103, 74.09
104, 74.64
105, 74.21
106, 74
107, 74.41
108, 75.03
109, 70.39
110, 74.25
111, 74.73
112, 74.78
113, 74.4
114, 74.82
115, 75.05
116, 75
117, 75.03
118, 74.46
119, 74.52
120, 74.84
121, 75
122, 74.6
123, 74.65
124, 74.7
125, 74.85
