








0, 268, 0.20, 301, 0.10, 367, 0.10, 102, 0.21, 0, 0.12, 169, 0.10, 136, 0.10, 235, 0.10, 68, 0.1

0, 334, 0.10, 202, 0.2

2, 0, 0.21, 301, 0.1

2, 68, 0.11, 102, 0.2

0, 34, 0.11, 136, 0.1

2, 268, 0.24, 169, 0.1
4, 235, 0.1

2, 367, 0.12, 334, 0.1
4, 68, 0.1
3, 102, 0.2
5, 235, 0.1
4, 202, 0.2

2, 301, 0.1
4, 268, 0.2
6, 169, 0.1
3, 0, 0.2
1, 34, 0.1
5, 68, 0.13, 334, 0.1
6, 136, 0.1
5, 367, 0.1
6, 202, 0.2
3, 301, 0.1
6, 268, 0.2
5, 102, 0.2

4, 0, 0.27, 235, 0.1
8, 169, 0.1
7, 68, 0.1
7, 367, 0.1
2, 34, 0.1
8, 268, 0.2
9, 136, 0.1
6, 102, 0.2
6, 334, 0.1

7, 0, 0.29, 68, 0.1
7, 202, 0.2
10, 169, 0.1
5, 301, 0.1
9, 268, 0.2

7, 102, 0.2
8, 235, 0.13, 34, 0.1

10, 367, 0.110, 68, 0.1
8, 334, 0.1
11, 136, 0.1
6, 34, 0.1
8, 0, 0.2
10, 202, 0.2

10, 268, 0.211, 169, 0.1
6, 301, 0.1
8, 102, 0.2
10, 235, 0.1
12, 268, 0.2
7, 34, 0.1


12, 367, 0.110, 0, 0.29, 334, 0.1

11, 202, 0.220, 169, 0.1
11, 68, 0.1
7, 301, 0.1
12, 235, 0.1
9, 102, 0.2

9, 34, 0.113, 268, 0.2
13, 68, 0.2
12, 136, 0.1
11, 0, 0.2
13, 235, 0.2
10, 334, 0.1
12, 202, 0.2
10, 102, 0.2
13, 367, 0.2
14, 0, 0.2
13, 136, 0.2
21, 169, 0.1

10, 301, 0.116, 68, 0.1
12, 34, 0.1

15, 268, 0.215, 235, 0.1
12, 102, 0.2

14, 367, 0.113, 202, 0.2
11, 301, 0.1
15, 0, 0.2
11, 334, 0.1

14, 136, 0.114, 34, 0.1
17, 68, 0.1

22, 169, 0.116, 102, 0.2

16, 268, 0.216, 0, 0.2
14, 202, 0.2
13, 301, 0.2
15, 367, 0.1
13, 334, 0.2
16, 235, 0.1
24, 169, 0.1

17, 268, 0.217, 102, 0.2

16, 367, 0.116, 136, 0.1

17, 202, 0.219, 68, 0.1
17, 34, 0.1
18, 0, 0.2
18, 268, 0.2
17, 136, 0.1

25, 169, 0.118, 102, 0.2
